,PNR_Number,Train_Number,Date_of_Journey,Class_of_Travel,Quota,Source_Station,Destination_Station,Booking_Date,Current_Status,Number_of_Passengers,Age_of_Passengers,Booking_Channel,Travel_Distance,Number_of_Stations,Travel_Time,Train_Type,Seat_Availability,Special_Considerations,Holiday_or_Peak_Season,Waitlist_Position,Booking_Status,Waiting_Num,Distance,Final_Status
20417,PNR0000020417,35297,7/26/2080,2AC,Ladies,BBS,JP,11/25/2079,RAC,5,Child,IRCTC Website,1906,11,21,Rajdhani,3592,Defense Quota,Yes,,Confirmed,0,0.222830906,CNF
20418,PNR0000020418,71782,7/27/2080,3AC,Premium Tatkal,NDLS,ADI,11/26/2079,RAC,3,Child,Counter,1471,12,26,Shatabdi,928,,Yes,,Confirmed,0,0.231345338,CNF
20419,PNR0000020419,70381,7/28/2080,2AC,Tatkal,UMB,CSMT,11/27/2079,Waitlisted,5,Child,Counter,1800,7,39,Shatabdi,1480,,Yes,WL165,Not Confirmed,165,2.744480529,CAN
20420,PNR0000020420,85227,7/29/2080,Sleeper,Tatkal,GKP,BCT,11/28/2079,Waitlisted,4,Senior Citizen,IRCTC Website,1489,4,4,Superfast,2736,Senior Citizen,Yes,WL014,Not Confirmed,14,1.392227028,CNF
20421,PNR0000020421,61880,7/30/2080,2AC,Ladies,SBC,NJP,11/29/2079,Waitlisted,3,Child,IRCTC Website,637,16,23,Shatabdi,304,,Yes,WL046,Not Confirmed,46,2.142292529,CNF
20422,PNR0000020422,16122,7/31/2080,1AC,General,NDLS,ASR,11/30/2079,Waitlisted,5,Senior Citizen,IRCTC Website,1336,12,23,Rajdhani,3352,Senior Citizen,No,WL038,Not Confirmed,38,1.757179442,CNF
20423,PNR0000020423,81410,8/1/2080,Sleeper,Premium Tatkal,LTT,SBC,12/1/2079,RAC,4,Senior Citizen,Counter,1809,13,29,Express,2616,Senior Citizen,No,,Confirmed,0,0.536211448,CNF
20424,PNR0000020424,81803,8/2/2080,3AC,Ladies,LTT,KOAA,12/2/2079,Waitlisted,1,Senior Citizen,Mobile App,1650,2,9,Superfast,1952,,No,WL181,Not Confirmed,181,2.699992961,CAN
20425,PNR0000020425,89877,8/3/2080,2AC,Tatkal,KOAA,ASR,12/3/2079,Waitlisted,2,Adult,Mobile App,513,2,43,Rajdhani,3168,,No,WL105,Not Confirmed,105,2.290100858,CNF
20426,PNR0000020426,69963,8/4/2080,1AC,Premium Tatkal,CSMT,BSB,12/4/2079,RAC,1,Child,Mobile App,1429,17,9,Express,1816,Defense Quota,Yes,,Confirmed,0,0.157049257,CNF
20427,PNR0000020427,16568,8/5/2080,Sleeper,Tatkal,UMB,BCT,12/5/2079,Waitlisted,4,Adult,Counter,366,4,24,Superfast,3904,Defense Quota,Yes,WL087,Not Confirmed,87,2.228560801,CNF
20428,PNR0000020428,94375,8/6/2080,1AC,Ladies,SBC,MMCT,12/6/2079,Confirmed,1,Child,IRCTC Website,1760,8,3,Rajdhani,3264,Senior Citizen,No,,Confirmed,0,0.061405982,CNF
20429,PNR0000020429,55861,8/7/2080,1AC,Tatkal,KOAA,JP,12/7/2079,Waitlisted,4,Adult,Counter,545,2,47,Superfast,3264,Senior Citizen,No,WL036,Not Confirmed,36,1.732451607,CNF
20430,PNR0000020430,27654,8/8/2080,Sleeper,Premium Tatkal,CSMT,BSB,12/8/2079,Confirmed,1,Senior Citizen,Mobile App,781,8,44,Rajdhani,2984,Senior Citizen,Yes,,Confirmed,0,0.304047229,CNF
20431,PNR0000020431,50779,8/9/2080,3AC,Premium Tatkal,GKP,MMCT,12/9/2079,Waitlisted,3,Senior Citizen,IRCTC Website,1891,2,25,Superfast,3896,Senior Citizen,Yes,WL051,Not Confirmed,51,1.961267268,CNF
20432,PNR0000020432,28281,8/10/2080,1AC,General,HWH,HWH,12/10/2079,RAC,2,Child,IRCTC Website,1677,11,32,Shatabdi,2760,Senior Citizen,No,,Confirmed,0,0.498160226,CNF
20433,PNR0000020433,76098,8/11/2080,1AC,Ladies,SC,JP,12/11/2079,Confirmed,2,Child,Mobile App,240,5,9,Express,1920,Senior Citizen,No,,Confirmed,0,0.066925365,CNF
20434,PNR0000020434,56752,8/12/2080,2AC,Ladies,LKO,HWH,12/12/2079,Waitlisted,4,Adult,IRCTC Website,810,2,41,Shatabdi,3376,,No,WL058,Not Confirmed,58,1.967354372,CNF
20435,PNR0000020435,48763,8/13/2080,1AC,Premium Tatkal,KOAA,ASR,12/13/2079,RAC,3,Senior Citizen,Counter,1095,10,35,Rajdhani,720,,Yes,,Confirmed,0,0.051097555,CNF
20436,PNR0000020436,23277,8/14/2080,1AC,General,ASR,NDLS,12/14/2079,Waitlisted,3,Senior Citizen,IRCTC Website,829,7,16,Shatabdi,1184,Defense Quota,Yes,WL058,Not Confirmed,58,2.084301339,CNF
20437,PNR0000020437,98755,8/15/2080,2AC,Ladies,UMB,JP,12/15/2079,Waitlisted,4,Adult,Counter,554,3,3,Rajdhani,2344,,No,WL166,Not Confirmed,166,2.620512986,CAN
20438,PNR0000020438,76678,8/16/2080,2AC,Tatkal,KOAA,JP,12/16/2079,Waitlisted,5,Child,Counter,236,15,8,Shatabdi,1064,Defense Quota,Yes,WL059,Not Confirmed,59,2.083409927,CNF
20439,PNR0000020439,65708,8/17/2080,3AC,Premium Tatkal,SC,SBC,12/17/2079,RAC,5,Adult,IRCTC Website,820,19,34,Rajdhani,1960,Senior Citizen,No,,Confirmed,0,0.03226233,CNF
20440,PNR0000020440,31613,8/18/2080,3AC,Tatkal,SC,KOAA,12/18/2079,RAC,2,Child,Counter,959,3,10,Rajdhani,1448,Senior Citizen,No,,Confirmed,0,0.47594918,CNF
20441,PNR0000020441,17671,8/19/2080,3AC,Premium Tatkal,ADI,KOAA,12/19/2079,RAC,2,Senior Citizen,IRCTC Website,1689,9,15,Superfast,1680,,Yes,,Confirmed,0,0.274903576,CNF
20442,PNR0000020442,85612,8/20/2080,3AC,Ladies,LTT,SC,12/20/2079,Confirmed,4,Child,Mobile App,1837,19,14,Express,2568,Defense Quota,Yes,,Confirmed,0,0.494615805,CNF
20443,PNR0000020443,32933,8/21/2080,3AC,Tatkal,MMCT,BBS,12/21/2079,RAC,4,Child,IRCTC Website,1293,11,7,Shatabdi,416,,No,,Confirmed,0,0.212341513,CNF
20444,PNR0000020444,49764,8/22/2080,3AC,Premium Tatkal,BCT,CNB,12/22/2079,RAC,4,Senior Citizen,IRCTC Website,557,4,40,Superfast,2424,Defense Quota,No,,Confirmed,0,0.369828879,CNF
20445,PNR0000020445,79560,8/23/2080,2AC,Tatkal,ADI,ASR,12/23/2079,Waitlisted,4,Senior Citizen,IRCTC Website,1990,15,3,Superfast,1584,,Yes,WL041,Not Confirmed,41,1.855400952,CNF
20446,PNR0000020446,20956,8/24/2080,3AC,Tatkal,JU,JU,12/24/2079,Waitlisted,3,Senior Citizen,Mobile App,1825,4,47,Shatabdi,200,Defense Quota,Yes,WL012,Not Confirmed,12,1.359040711,CNF
20447,PNR0000020447,82163,8/25/2080,2AC,General,BSB,ASR,12/25/2079,RAC,2,Child,IRCTC Website,933,15,33,Express,1392,,Yes,,Confirmed,0,0.52447743,CNF
20448,PNR0000020448,40980,8/26/2080,1AC,Premium Tatkal,JU,SC,12/26/2079,RAC,1,Senior Citizen,Counter,583,10,22,Superfast,1008,Defense Quota,Yes,,Confirmed,0,0.300671408,CNF
20449,PNR0000020449,37416,8/27/2080,1AC,Ladies,ASR,BCT,12/27/2079,Confirmed,1,Child,IRCTC Website,1249,3,31,Rajdhani,496,Senior Citizen,No,,Confirmed,0,0.143015442,CNF
20450,PNR0000020450,42616,8/28/2080,3AC,Tatkal,NDLS,BCT,12/28/2079,Waitlisted,3,Senior Citizen,Counter,688,10,17,Rajdhani,2864,Defense Quota,No,WL104,Not Confirmed,104,2.326404279,CAN
20451,PNR0000020451,17452,8/29/2080,1AC,Tatkal,JU,BBS,12/29/2079,Waitlisted,1,Senior Citizen,Mobile App,1144,16,8,Superfast,1288,Senior Citizen,Yes,WL029,Not Confirmed,29,1.740527687,CNF
20452,PNR0000020452,69328,8/30/2080,Sleeper,Ladies,MMCT,KOAA,12/30/2079,Confirmed,3,Senior Citizen,Mobile App,1213,2,34,Superfast,2776,Defense Quota,Yes,,Confirmed,0,0.484295012,CNF
20453,PNR0000020453,90520,8/31/2080,Sleeper,Premium Tatkal,JU,MMCT,12/31/2079,Waitlisted,5,Senior Citizen,Mobile App,271,12,4,Express,2064,,Yes,WL141,Not Confirmed,141,2.513126301,CAN
20454,PNR0000020454,23751,9/1/2080,1AC,Premium Tatkal,LTT,CSMT,1/1/2080,RAC,3,Senior Citizen,Counter,374,9,12,Express,1736,Defense Quota,No,,Confirmed,0,0.226375327,CNF
20455,PNR0000020455,51140,9/2/2080,Sleeper,Premium Tatkal,MMCT,CNB,1/2/2080,Waitlisted,2,Senior Citizen,Mobile App,1018,11,44,Express,3648,,No,WL006,Not Confirmed,6,0.96346062,CNF
20456,PNR0000020456,26928,9/3/2080,1AC,Ladies,BCT,SBC,1/3/2080,Confirmed,4,Senior Citizen,Counter,1477,17,5,Express,744,Defense Quota,No,,Confirmed,0,0.071895376,CNF
20457,PNR0000020457,24689,9/4/2080,1AC,Ladies,ASR,NDLS,1/4/2080,Waitlisted,1,Adult,IRCTC Website,1070,3,26,Superfast,3312,Defense Quota,No,WL118,Not Confirmed,118,2.347674302,CAN
20458,PNR0000020458,17053,9/5/2080,2AC,General,BSB,ASR,1/5/2080,Waitlisted,5,Adult,IRCTC Website,260,10,43,Rajdhani,3816,Senior Citizen,Yes,WL039,Not Confirmed,39,1.816794493,CNF
20459,PNR0000020459,19837,9/6/2080,2AC,Ladies,BBS,HWH,1/6/2080,Waitlisted,3,Child,Mobile App,1259,5,19,Superfast,504,Defense Quota,No,WL107,Not Confirmed,107,2.715269644,CAN
20460,PNR0000020460,30052,9/7/2080,2AC,Ladies,BCT,ADI,1/7/2080,Waitlisted,5,Child,Mobile App,327,12,33,Rajdhani,3736,,Yes,WL104,Not Confirmed,104,2.296713327,CNF
20461,PNR0000020461,67034,9/8/2080,Sleeper,Tatkal,JU,SC,1/8/2080,Waitlisted,3,Child,IRCTC Website,618,9,16,Shatabdi,2704,,Yes,WL028,Not Confirmed,28,1.705377887,CNF
20462,PNR0000020462,94815,9/9/2080,3AC,Tatkal,UMB,NJP,1/9/2080,Confirmed,2,Child,IRCTC Website,1190,3,13,Superfast,328,,Yes,,Confirmed,0,0.28860019,CNF
20463,PNR0000020463,32360,9/10/2080,3AC,General,LTT,NJP,1/10/2080,Confirmed,4,Senior Citizen,Mobile App,288,19,22,Shatabdi,3808,Senior Citizen,No,,Confirmed,0,0.410011296,CNF
20464,PNR0000020464,85492,9/11/2080,2AC,Premium Tatkal,CNB,JP,1/11/2080,Waitlisted,5,Child,IRCTC Website,1568,14,15,Express,184,Senior Citizen,Yes,WL077,Not Confirmed,77,3.073307936,CAN
20465,PNR0000020465,10425,9/12/2080,3AC,General,CSMT,SC,1/12/2080,Confirmed,4,Adult,Counter,615,8,21,Rajdhani,544,,Yes,,Confirmed,0,0.1014198,CNF
20466,PNR0000020466,28146,9/13/2080,2AC,General,ASR,MMCT,1/13/2080,Waitlisted,4,Child,Mobile App,1939,13,11,Rajdhani,80,,Yes,WL046,Not Confirmed,46,3.162889229,CAN
20467,PNR0000020467,46566,9/14/2080,1AC,General,SC,SC,1/14/2080,Waitlisted,4,Senior Citizen,IRCTC Website,1762,15,5,Shatabdi,2360,Senior Citizen,No,WL135,Not Confirmed,135,2.486432991,CAN
20468,PNR0000020468,98848,9/15/2080,3AC,Premium Tatkal,LTT,NJP,1/15/2080,RAC,5,Adult,IRCTC Website,1736,5,35,Express,848,Defense Quota,Yes,,Confirmed,0,0.162019268,CNF
20469,PNR0000020469,32834,9/16/2080,1AC,Ladies,LTT,GKP,1/16/2080,Waitlisted,4,Child,Mobile App,1292,2,5,Rajdhani,3448,Senior Citizen,Yes,WL102,Not Confirmed,102,2.265500281,CNF
20470,PNR0000020470,34273,9/17/2080,Sleeper,Tatkal,MAS,GKP,1/17/2080,Waitlisted,1,Child,Mobile App,831,9,9,Superfast,136,Senior Citizen,Yes,WL129,Not Confirmed,129,5.100336267,CAN
20471,PNR0000020471,79227,9/18/2080,3AC,Premium Tatkal,PNBE,CNB,1/18/2080,RAC,4,Senior Citizen,Counter,1515,8,22,Shatabdi,3392,,No,,Confirmed,0,0.04951573,CNF
20472,PNR0000020472,39725,9/19/2080,2AC,Tatkal,PNBE,SBC,1/19/2080,RAC,4,Adult,IRCTC Website,414,7,47,Shatabdi,152,,Yes,,Confirmed,0,0.441117545,CNF
20473,PNR0000020473,52538,9/20/2080,Sleeper,Premium Tatkal,LKO,MAS,1/20/2080,Confirmed,1,Adult,Mobile App,1739,7,23,Express,3824,Defense Quota,No,,Confirmed,0,0.423876511,CNF
20474,PNR0000020474,18881,9/21/2080,Sleeper,Ladies,JU,CSMT,1/21/2080,Confirmed,4,Adult,Counter,380,4,28,Express,2344,,No,,Confirmed,0,0.300502808,CNF
20475,PNR0000020475,97897,9/22/2080,1AC,Tatkal,MMCT,JP,1/22/2080,RAC,2,Adult,Mobile App,1858,14,32,Rajdhani,3584,,No,,Confirmed,0,0.215898299,CNF
20476,PNR0000020476,93545,9/23/2080,3AC,Ladies,PNBE,JP,1/23/2080,Waitlisted,4,Adult,Mobile App,1761,7,2,Superfast,1672,Senior Citizen,No,WL095,Not Confirmed,95,2.308014934,CAN
20477,PNR0000020477,57211,9/24/2080,3AC,General,CSMT,MAS,1/24/2080,Confirmed,3,Senior Citizen,Mobile App,1258,19,21,Superfast,1704,Defense Quota,Yes,,Confirmed,0,0.254105755,CNF
20478,PNR0000020478,62896,9/25/2080,Sleeper,Ladies,NDLS,GKP,1/25/2080,Waitlisted,1,Adult,IRCTC Website,726,17,22,Superfast,1176,Senior Citizen,Yes,WL099,Not Confirmed,99,2.419269617,CAN
20479,PNR0000020479,39563,9/26/2080,Sleeper,General,CNB,LTT,1/26/2080,Waitlisted,5,Child,IRCTC Website,1702,13,5,Superfast,3168,,Yes,WL091,Not Confirmed,91,2.211264101,CNF
20480,PNR0000020480,56836,9/27/2080,Sleeper,Tatkal,JP,HWH,1/27/2080,Confirmed,1,Adult,Counter,204,17,30,Shatabdi,248,,Yes,,Confirmed,0,0.35792626,CNF
20481,PNR0000020481,85957,9/28/2080,2AC,General,PNBE,KOAA,1/28/2080,Waitlisted,4,Adult,Mobile App,392,3,41,Superfast,2216,Defense Quota,No,WL089,Not Confirmed,89,2.228972996,CNF
20482,PNR0000020482,57776,9/29/2080,Sleeper,General,GKP,PNBE,1/29/2080,Waitlisted,5,Adult,IRCTC Website,1559,14,33,Rajdhani,2920,Senior Citizen,Yes,WL074,Not Confirmed,74,2.131716523,CNF
20483,PNR0000020483,24832,9/30/2080,1AC,Ladies,SC,MAS,1/30/2080,Confirmed,4,Child,IRCTC Website,786,19,23,Shatabdi,632,Senior Citizen,No,,Confirmed,0,0.025161122,CNF
20484,PNR0000020484,63369,10/1/2080,2AC,Ladies,SC,LKO,1/31/2080,Waitlisted,1,Adult,IRCTC Website,1761,14,15,Superfast,3848,Senior Citizen,Yes,WL176,Not Confirmed,176,2.609403228,CAN
20485,PNR0000020485,75596,10/2/2080,3AC,Premium Tatkal,SC,LTT,2/1/2080,Confirmed,3,Adult,Mobile App,424,8,21,Shatabdi,2432,Defense Quota,Yes,,Confirmed,0,0.376761486,CNF
20486,PNR0000020486,78109,10/3/2080,Sleeper,General,KOAA,JU,2/2/2080,Waitlisted,4,Child,Counter,1429,10,7,Superfast,2064,Defense Quota,No,WL156,Not Confirmed,156,2.58175977,CAN
20487,PNR0000020487,11181,10/4/2080,Sleeper,General,LTT,NJP,2/3/2080,RAC,2,Child,IRCTC Website,929,17,31,Superfast,600,Senior Citizen,No,,Confirmed,0,0.052891551,CNF
20488,PNR0000020488,91585,10/5/2080,1AC,Ladies,SBC,CSMT,2/4/2080,Confirmed,3,Adult,Counter,675,2,33,Shatabdi,1472,Senior Citizen,Yes,,Confirmed,0,0.455151359,CNF
20489,PNR0000020489,63329,10/6/2080,2AC,Tatkal,NDLS,LKO,2/5/2080,Waitlisted,2,Adult,Mobile App,692,12,44,Shatabdi,1448,Defense Quota,Yes,WL138,Not Confirmed,138,2.6187347,CAN
20490,PNR0000020490,64618,10/7/2080,3AC,Ladies,NDLS,MMCT,2/6/2080,Waitlisted,4,Child,IRCTC Website,494,8,8,Superfast,1208,Defense Quota,No,WL196,Not Confirmed,196,2.972833948,CAN
20491,PNR0000020491,60483,10/8/2080,Sleeper,Premium Tatkal,JU,ASR,2/7/2080,RAC,4,Child,IRCTC Website,371,19,46,Express,1960,,No,,Confirmed,0,0.03226233,CNF
20492,PNR0000020492,68559,10/9/2080,Sleeper,Ladies,JU,BCT,2/8/2080,Waitlisted,4,Senior Citizen,Counter,1476,8,23,Express,672,Defense Quota,Yes,WL177,Not Confirmed,177,3.131857113,CAN
20493,PNR0000020493,69959,10/10/2080,2AC,General,UMB,LTT,2/9/2080,Waitlisted,5,Senior Citizen,Mobile App,77,15,33,Shatabdi,1520,Senior Citizen,Yes,WL104,Not Confirmed,104,2.400768336,CAN
20494,PNR0000020494,20867,10/11/2080,1AC,Tatkal,CSMT,NJP,2/10/2080,RAC,5,Adult,IRCTC Website,805,16,17,Rajdhani,2792,Defense Quota,Yes,,Confirmed,0,0.470429798,CNF
20495,PNR0000020495,69501,10/12/2080,Sleeper,Ladies,NJP,LKO,2/11/2080,Waitlisted,1,Senior Citizen,IRCTC Website,1603,7,41,Superfast,3584,Defense Quota,No,WL180,Not Confirmed,180,2.599823,CAN
20496,PNR0000020496,26408,10/13/2080,2AC,General,NDLS,UMB,2/12/2080,Waitlisted,1,Senior Citizen,Counter,1121,15,13,Express,3776,,No,WL126,Not Confirmed,126,2.406927814,CAN
20497,PNR0000020497,82015,10/14/2080,Sleeper,Ladies,JU,ASR,2/13/2080,Confirmed,2,Adult,Counter,849,6,23,Express,3144,Defense Quota,No,,Confirmed,0,0.165395088,CNF
20498,PNR0000020498,16276,10/15/2080,3AC,Premium Tatkal,CSMT,JU,2/14/2080,RAC,2,Child,Counter,105,19,23,Superfast,3208,,Yes,,Confirmed,0,0.109934232,CNF
20499,PNR0000020499,87835,10/16/2080,1AC,Premium Tatkal,BBS,SC,2/15/2080,RAC,2,Adult,IRCTC Website,1221,5,8,Shatabdi,512,Defense Quota,Yes,,Confirmed,0,0.129150228,CNF
20500,PNR0000020500,28371,10/17/2080,2AC,Tatkal,PNBE,NJP,2/16/2080,RAC,4,Adult,IRCTC Website,1233,7,46,Shatabdi,1728,Senior Citizen,Yes,,Confirmed,0,0.233307934,CNF
20501,PNR0000020501,50072,10/18/2080,3AC,General,LTT,SBC,2/17/2080,Confirmed,1,Senior Citizen,Counter,1426,5,16,Shatabdi,2392,Senior Citizen,Yes,,Confirmed,0,0.34209845,CNF
20502,PNR0000020502,93336,10/19/2080,3AC,Ladies,SBC,HWH,2/18/2080,Confirmed,4,Senior Citizen,Counter,1689,11,17,Express,3472,Senior Citizen,No,,Confirmed,0,0.118841801,CNF
20503,PNR0000020503,89763,10/20/2080,2AC,General,LKO,GKP,2/19/2080,Confirmed,5,Senior Citizen,IRCTC Website,855,2,35,Rajdhani,1720,,Yes,,Confirmed,0,0.240240541,CNF
20504,PNR0000020504,61829,10/21/2080,Sleeper,Tatkal,UMB,BSB,2/20/2080,Confirmed,2,Adult,Counter,646,2,47,Rajdhani,0,Defense Quota,Yes,,Confirmed,0,0.572837079,CNF
20505,PNR0000020505,90530,10/22/2080,3AC,General,NDLS,BBS,2/21/2080,Waitlisted,5,Adult,Mobile App,1902,12,22,Shatabdi,360,Senior Citizen,Yes,WL103,Not Confirmed,103,2.887766783,CAN
20506,PNR0000020506,77209,10/23/2080,Sleeper,Ladies,SC,UMB,2/22/2080,RAC,1,Senior Citizen,IRCTC Website,461,2,12,Express,3360,Defense Quota,No,,Confirmed,0,0.021785302,CNF
20507,PNR0000020507,19517,10/24/2080,2AC,Premium Tatkal,ASR,JP,2/23/2080,RAC,5,Adult,Counter,232,13,43,Superfast,16,Defense Quota,Yes,,Confirmed,0,0.558971865,CNF
20508,PNR0000020508,60226,10/25/2080,Sleeper,Premium Tatkal,JP,CSMT,2/24/2080,Confirmed,1,Senior Citizen,Mobile App,1560,2,40,Shatabdi,3784,Defense Quota,No,,Confirmed,0,0.389213475,CNF
20509,PNR0000020509,49297,10/26/2080,3AC,Premium Tatkal,LTT,NJP,2/25/2080,RAC,3,Child,Mobile App,1854,2,21,Superfast,3352,Defense Quota,Yes,,Confirmed,0,0.014852695,CNF
20510,PNR0000020510,93832,10/27/2080,1AC,Ladies,PNBE,SBC,2/26/2080,Waitlisted,4,Adult,Counter,515,9,39,Superfast,896,,Yes,WL183,Not Confirmed,183,3.003769276,CAN
20511,PNR0000020511,75887,10/28/2080,1AC,General,PNBE,NDLS,2/27/2080,Waitlisted,2,Child,Mobile App,229,3,11,Express,3424,,No,WL167,Not Confirmed,167,2.550521384,CAN
20512,PNR0000020512,71927,10/29/2080,Sleeper,Tatkal,CSMT,BCT,2/28/2080,RAC,2,Senior Citizen,IRCTC Website,480,3,5,Superfast,2328,,Yes,,Confirmed,0,0.286637594,CNF
20513,PNR0000020513,55252,10/30/2080,2AC,Ladies,HWH,NDLS,2/29/2080,Confirmed,2,Adult,Mobile App,1319,15,20,Superfast,2344,,No,,Confirmed,0,0.300502808,CNF
20514,PNR0000020514,81809,10/31/2080,3AC,General,BCT,LTT,3/1/2080,RAC,3,Adult,Mobile App,1800,16,38,Superfast,2032,,Yes,,Confirmed,0,0.030131134,CNF
20515,PNR0000020515,64167,11/1/2080,Sleeper,Tatkal,JP,BBS,3/2/2080,RAC,2,Adult,IRCTC Website,390,10,44,Superfast,1984,,Yes,,Confirmed,0,0.011464509,CNF
20516,PNR0000020516,49057,11/2/2080,Sleeper,Tatkal,NDLS,ASR,3/3/2080,Confirmed,3,Senior Citizen,IRCTC Website,318,3,45,Shatabdi,3800,Senior Citizen,No,,Confirmed,0,0.403078689,CNF
20517,PNR0000020517,31003,11/3/2080,2AC,Ladies,NJP,LTT,3/4/2080,Confirmed,5,Senior Citizen,Mobile App,953,6,26,Rajdhani,3776,Senior Citizen,Yes,,Confirmed,0,0.382280868,CNF
20518,PNR0000020518,80442,11/4/2080,3AC,Tatkal,UMB,LTT,3/5/2080,RAC,4,Adult,IRCTC Website,154,18,35,Shatabdi,2400,Senior Citizen,No,,Confirmed,0,0.349031057,CNF
20519,PNR0000020519,71440,11/5/2080,Sleeper,Premium Tatkal,KOAA,SC,3/6/2080,RAC,3,Child,Mobile App,269,14,18,Rajdhani,2264,Defense Quota,Yes,,Confirmed,0,0.231176738,CNF
20520,PNR0000020520,72528,11/6/2080,1AC,General,JP,JHS,3/7/2080,Confirmed,4,Senior Citizen,IRCTC Website,149,16,35,Rajdhani,288,Senior Citizen,Yes,,Confirmed,0,0.323263225,CNF
20521,PNR0000020521,92005,11/7/2080,2AC,Premium Tatkal,CSMT,LKO,3/8/2080,Confirmed,1,Senior Citizen,IRCTC Website,50,9,30,Shatabdi,488,Senior Citizen,Yes,,Confirmed,0,0.149948049,CNF
20522,PNR0000020522,15198,11/8/2080,1AC,Tatkal,JU,ASR,3/9/2080,Waitlisted,2,Senior Citizen,Mobile App,587,7,22,Rajdhani,1576,,Yes,WL175,Not Confirmed,175,2.758525498,CAN
20523,PNR0000020523,32106,11/9/2080,3AC,Ladies,KOAA,KOAA,3/10/2080,RAC,5,Senior Citizen,Counter,1214,15,44,Express,3800,Senior Citizen,No,,Confirmed,0,0.403078689,CNF
20524,PNR0000020524,88524,11/10/2080,1AC,Tatkal,HWH,JP,3/11/2080,Waitlisted,1,Child,Counter,1859,13,23,Rajdhani,2992,Defense Quota,No,WL051,Not Confirmed,51,1.929654731,CNF
20525,PNR0000020525,17099,11/11/2080,1AC,Tatkal,LTT,SC,3/12/2080,RAC,5,Child,Counter,231,13,35,Express,1672,Defense Quota,No,,Confirmed,0,0.281836183,CNF
20526,PNR0000020526,95368,11/12/2080,2AC,Premium Tatkal,NJP,LKO,3/13/2080,Confirmed,1,Adult,Mobile App,1650,4,5,Express,2856,Defense Quota,No,,Confirmed,0,0.414968941,CNF
20527,PNR0000020527,14359,11/13/2080,Sleeper,Ladies,JHS,CSMT,3/14/2080,Confirmed,4,Child,Counter,709,9,24,Shatabdi,3456,Senior Citizen,No,,Confirmed,0,0.104976587,CNF
20528,PNR0000020528,24642,11/14/2080,1AC,General,LTT,UMB,3/15/2080,RAC,5,Adult,Mobile App,909,3,25,Express,2104,Senior Citizen,No,,Confirmed,0,0.092524597,CNF
20529,PNR0000020529,71011,11/15/2080,2AC,Ladies,NDLS,JU,3/16/2080,RAC,4,Senior Citizen,Counter,1398,14,2,Express,936,Senior Citizen,No,,Confirmed,0,0.238277945,CNF
20530,PNR0000020530,25242,11/16/2080,3AC,General,JP,ADI,3/17/2080,Confirmed,1,Child,Counter,1566,16,9,Superfast,2488,,Yes,,Confirmed,0,0.425289735,CNF
20531,PNR0000020531,47095,11/17/2080,Sleeper,Tatkal,BCT,KOAA,3/18/2080,Confirmed,2,Adult,Mobile App,1305,17,38,Shatabdi,64,,Yes,,Confirmed,0,0.517376222,CNF
20532,PNR0000020532,36477,11/18/2080,1AC,Tatkal,JHS,MMCT,3/19/2080,Waitlisted,3,Adult,IRCTC Website,910,5,14,Superfast,936,Defense Quota,No,WL026,Not Confirmed,26,1.625309009,CNF
20533,PNR0000020533,89820,11/19/2080,3AC,General,ASR,BCT,3/20/2080,RAC,4,Senior Citizen,IRCTC Website,439,15,2,Superfast,520,,No,,Confirmed,0,0.122217621,CNF
20534,PNR0000020534,33104,11/20/2080,3AC,General,NDLS,MAS,3/21/2080,Waitlisted,5,Adult,Counter,1411,9,19,Superfast,3176,Defense Quota,Yes,WL022,Not Confirmed,22,1.503666581,CNF
20535,PNR0000020535,28250,11/21/2080,3AC,General,GKP,JP,3/22/2080,RAC,1,Child,Counter,1480,15,17,Express,1760,Senior Citizen,No,,Confirmed,0,0.205577506,CNF
20536,PNR0000020536,72490,11/22/2080,3AC,Tatkal,NJP,SC,3/23/2080,Confirmed,2,Adult,Mobile App,960,8,18,Superfast,3496,Defense Quota,No,,Confirmed,0,0.139639622,CNF
20537,PNR0000020537,51478,11/23/2080,2AC,Premium Tatkal,UMB,NDLS,3/24/2080,Waitlisted,5,Adult,IRCTC Website,1938,7,22,Express,2352,Defense Quota,Yes,WL065,Not Confirmed,65,2.066349951,CNF
20538,PNR0000020538,23186,11/24/2080,1AC,Premium Tatkal,GKP,BCT,3/25/2080,RAC,2,Senior Citizen,Counter,848,5,6,Shatabdi,2496,Defense Quota,No,,Confirmed,0,0.432222342,CNF
20539,PNR0000020539,93306,11/25/2080,3AC,General,SC,NDLS,3/26/2080,Waitlisted,2,Senior Citizen,Counter,764,6,33,Rajdhani,960,Senior Citizen,Yes,WL010,Not Confirmed,10,1.178500632,CNF
20540,PNR0000020540,52997,11/26/2080,Sleeper,Ladies,LTT,GKP,3/27/2080,RAC,2,Adult,Mobile App,1453,3,36,Rajdhani,560,,No,,Confirmed,0,0.087554586,CNF
20541,PNR0000020541,36948,11/27/2080,2AC,Tatkal,BCT,CNB,3/28/2080,Waitlisted,2,Senior Citizen,Counter,425,7,16,Superfast,2336,Defense Quota,Yes,WL115,Not Confirmed,115,2.386085669,CAN
20542,PNR0000020542,51564,11/28/2080,1AC,Tatkal,CSMT,NDLS,3/29/2080,Waitlisted,1,Senior Citizen,Mobile App,1404,3,4,Express,3928,,No,WL199,Not Confirmed,199,2.695388801,CAN
